,Order_Date,Order_ID,Region,City,Customer_Type,Product_Category,Quantity,Unit_Price,Discount_Percent,Revenue
147,2022-01-09,200147,West,Pune,Returning,Accessories,9.0,41692.24,5.0,356468.652
148,2022-12-12,200148,West,Hyderabad,Returning,Furniture,9.0,46607.98,25.0,356468.652
149,2022-10-24,200149,North,Pune,Returning,Furniture,7.0,16906.45,25.0,88758.8625
150,2021-02-14,200150,East,Bengaluru,New,Furniture,7.0,25039.55,20.0,140221.48
151,2023-09-15,200151,North,Kolkata,Returning,Accessories,6.0,18085.76,20.0,108514.56
152,2022-10-10,200152,West,Delhi,Returning,Clothing,6.0,47155.69,20.0,108514.56
153,2022-12-23,200153,West,Kolkata,New,Accessories,8.0,3110.2,25.0,18661.2
154,2022-05-11,200154,West,Bengaluru,New,Clothing,9.0,31748.23,5.0,271447.3665
155,2021-07-17,200155,South,Kolkata,New,Furniture,1.0,7676.97,25.0,5757.7275
156,2021-04-11,200156,Central,Pune,Returning,Furniture,6.0,3925.39,5.0,22374.723
157,2021-06-30,200157,East,Kolkata,New,Accessories,2.0,24356.89,15.0,41406.713
158,2021-06-19,200158,North,Pune,Returning,Accessories,1.0,39962.11,15.0,33967.7935
159,2021-01-30,200159,West,Ahmedabad,Returning,Furniture,2.0,1357.94,15.0,2715.88
160,2021-10-10,200160,West,Chennai,Returning,Food,5.0,13531.9,15.0,57510.575
161,2023-04-13,200161,West,Mumbai,New,Furniture,2.0,39245.1,10.0,70641.18
162,2023-02-04,200162,West,Chennai,New,Accessories,4.0,49025.97,25.0,147077.91
163,2021-07-10,200163,South,Pune,Returning,Accessories,8.0,8876.0,10.0,63907.2
164,2022-12-28,200164,West,Kolkata,New,Electronics,3.0,21639.47,5.0,61672.4895
165,2023-01-09,200165,East,Hyderabad,New,Accessories,3.0,36689.49,20.0,88054.776
166,2021-01-13,200166,South,Kolkata,Returning,Accessories,8.0,31940.94,20.0,255527.52
167,2022-10-09,200167,South,Bengaluru,Returning,Clothing,8.0,645.09,20.0,5160.72
168,2022-05-04,200168,East,Ahmedabad,New,Accessories,5.0,48246.23,20.0,192984.92
169,2023-07-20,200169,West,Ahmedabad,Returning,Clothing,9.0,13531.9,25.0,91340.325
170,2022-03-20,200170,South,Chennai,New,Clothing,1.0,11617.44,25.0,8713.08
171,2021-04-17,200171,West,Delhi,New,Accessories,8.0,32152.9,5.0,244362.04
172,2022-09-15,200172,Central,Pune,Returning,Furniture,7.0,42481.96,5.0,297373.72
173,2023-06-04,200173,Central,Ahmedabad,New,Food,7.0,44918.72,10.0,282987.936
174,2022-05-13,200174,North,Pune,Returning,Accessories,3.0,10316.71,5.0,29402.6235
175,2021-12-16,200175,North,Ahmedabad,New,Electronics,7.0,4270.25,20.0,23913.4
176,2022-05-02,200176,West,Delhi,New,Electronics,9.0,4270.25,25.0,23913.4
177,2021-08-23,200177,Central,Mumbai,New,Clothing,1.0,6764.7,20.0,5411.76
178,2022-06-14,200178,Central,Pune,Returning,Electronics,7.0,48246.23,10.0,303951.249
179,2021-01-06,200179,North,Bengaluru,New,Electronics,1.0,11901.5,10.0,11901.5
180,2023-04-28,200180,East,Hyderabad,New,Electronics,8.0,5739.99,25.0,34439.94
181,2021-02-19,200181,North,Chennai,Returning,Electronics,8.0,10316.71,10.0,34439.94
182,2022-03-15,200182,North,Chennai,Returning,Electronics,8.0,7494.9,5.0,34439.94
183,2021-11-29,200183,North,Pune,New,Clothing,2.0,4817.85,25.0,7226.775
184,2022-09-10,200184,North,Hyderabad,New,Food,2.0,744.69,10.0,7226.775
185,2023-09-16,200185,South,Pune,Returning,Food,9.0,36689.49,20.0,264164.328
186,2021-07-02,200186,West,Hyderabad,Returning,Accessories,9.0,44918.72,15.0,343628.208
187,2022-11-19,200187,Central,Bengaluru,Returning,Furniture,5.0,4817.85,20.0,19271.4
188,2022-02-26,200188,East,Pune,Returning,Accessories,5.0,561.25,20.0,19271.4
189,2023-08-28,200189,West,Mumbai,New,Clothing,7.0,47416.2,0.0,331913.4
190,2022-08-23,200190,Central,Chennai,New,Accessories,8.0,4817.85,0.0,38542.8
191,2022-10-24,200191,Central,Mumbai,Returning,Accessories,4.0,40229.84,20.0,128735.488
192,2021-09-18,200192,Central,Bengaluru,Returning,Accessories,2.0,16906.45,0.0,33812.9
193,2022-04-21,200193,East,Mumbai,Returning,Food,8.0,2739.55,0.0,21916.4
194,2022-08-12,200194,West,Hyderabad,Returning,Accessories,8.0,11801.42,20.0,75529.088
195,2021-08-22,200195,South,Pune,Returning,Food,3.0,7358.44,10.0,19867.788
196,2021-11-28,200196,West,Delhi,Returning,Clothing,5.0,46398.17,10.0,208791.765
197,2023-02-14,200197,East,Bengaluru,Returning,Accessories,3.0,44406.0,5.0,126557.1
198,2023-06-08,200198,East,Mumbai,Returning,Electronics,6.0,7358.44,5.0,41943.108
199,2021-08-14,200199,South,Kolkata,New,Accessories,1.0,40448.33,10.0,36403.497
200,2022-04-15,200200,West,Chennai,Returning,Furniture,8.0,31329.17,15.0,213038.356
201,2021-03-27,200201,South,Pune,Returning,Electronics,5.0,30796.9,25.0,115488.375
202,2022-11-02,200202,Central,Pune,New,Accessories,1.0,13239.72,10.0,11915.748
203,2023-05-26,200203,Central,Delhi,Returning,Furniture,7.0,16722.74,0.0,117059.18
204,2022-04-22,200204,South,Hyderabad,Returning,Furniture,7.0,41264.36,5.0,117059.18
205,2023-04-05,200205,South,Chennai,New,Clothing,7.0,43946.28,20.0,117059.18
206,2023-03-31,200206,West,Bengaluru,New,Clothing,8.0,14553.86,0.0,116430.88
207,2021-09-05,200207,West,Mumbai,New,Accessories,7.0,6764.7,25.0,35514.675
208,2021-07-03,200208,North,Bengaluru,Returning,Food,2.0,885.54,25.0,1771.08
209,2022-09-26,200209,North,Ahmedabad,Returning,Electronics,3.0,13345.54,25.0,30027.465
210,2023-06-28,200210,North,Ahmedabad,New,Clothing,3.0,41316.06,5.0,117750.771
211,2021-03-18,200211,South,Ahmedabad,Returning,Clothing,7.0,8853.49,5.0,61974.43
212,2023-05-28,200212,South,Kolkata,Returning,Furniture,8.0,11678.7,25.0,70072.2
213,2023-07-22,200213,West,Chennai,New,Food,8.0,42969.65,25.0,343757.2
214,2022-12-13,200214,West,Kolkata,Returning,Food,8.0,48246.23,25.0,343757.2
215,2021-03-27,200215,South,Ahmedabad,New,Electronics,6.0,42716.33,5.0,243483.081
216,2022-11-30,200216,East,Delhi,New,Electronics,7.0,45683.08,20.0,255825.248
217,2023-03-21,200217,Central,Hyderabad,New,Furniture,7.0,5739.99,20.0,255825.248
218,2021-08-19,200218,Central,Chennai,Returning,Accessories,7.0,49025.97,15.0,291704.5215
219,2023-07-01,200219,East,Hyderabad,Returning,Furniture,7.0,10611.46,25.0,291704.5215
220,2023-03-23,200220,North,Bengaluru,Returning,Electronics,2.0,3925.39,15.0,6673.163
221,2021-11-12,200221,West,Chennai,New,Electronics,3.0,41316.06,10.0,111553.362
222,2023-05-01,200222,North,Mumbai,New,Electronics,9.0,34459.76,10.0,279124.056
223,2022-07-30,200223,Central,Ahmedabad,Returning,Accessories,8.0,11730.85,0.0,93846.8
224,2023-07-14,200224,Central,Pune,Returning,Food,8.0,40229.84,15.0,93846.8
225,2022-02-05,200225,East,Chennai,Returning,Clothing,4.0,10611.21,10.0,38200.356
226,2023-06-21,200226,East,Pune,Returning,Clothing,9.0,645.09,20.0,4644.648
227,2021-02-05,200227,North,Delhi,New,Accessories,9.0,11617.44,25.0,4644.648
228,2022-08-13,200228,North,Hyderabad,Returning,Accessories,4.0,7494.9,0.0,29979.6
229,2021-10-16,200229,North,Bengaluru,Returning,Food,4.0,39962.11,25.0,29979.6
230,2022-09-22,200230,North,Chennai,Returning,Furniture,3.0,30796.9,15.0,78532.095
231,2022-12-29,200231,North,Mumbai,Returning,Accessories,6.0,34369.73,5.0,195907.461
232,2023-09-19,200232,South,Delhi,New,Food,3.0,8876.0,15.0,22633.8
233,2021-06-11,200233,Central,Mumbai,Returning,Clothing,3.0,31367.81,20.0,22633.8
234,2021-02-15,200234,North,Delhi,Returning,Electronics,2.0,31540.97,20.0,50465.552
235,2023-07-26,200235,North,Hyderabad,New,Clothing,7.0,11678.7,15.0,69488.265
236,2022-09-21,200236,North,Hyderabad,New,Furniture,2.0,46398.17,10.0,83516.706
237,2022-04-21,200237,North,Chennai,New,Food,9.0,26719.23,0.0,240473.07
238,2022-02-03,200238,North,Chennai,Returning,Accessories,3.0,13345.54,20.0,32029.296
239,2021-02-15,200239,North,Chennai,Returning,Clothing,3.0,40448.33,0.0,32029.296
240,2023-05-24,200240,East,Kolkata,Returning,Furniture,8.0,48150.67,15.0,327424.556
241,2021-02-12,200241,Central,Chennai,New,Furniture,6.0,49339.75,0.0,296038.5
242,2023-05-15,200242,North,Chennai,Returning,Furniture,4.0,645.09,0.0,2580.36
243,2021-10-18,200243,North,Ahmedabad,Returning,Furniture,2.0,459.75,0.0,919.5
244,2021-04-06,200244,North,Ahmedabad,Returning,Accessories,6.0,31540.97,15.0,160858.947
245,2023-05-31,200245,South,Mumbai,Returning,Accessories,6.0,1405.66,0.0,160858.947
246,2021-07-03,200246,South,Pune,New,Accessories,2.0,24153.93,0.0,48307.86
247,2021-08-19,200247,East,Pune,New,Electronics,2.0,459.75,0.0,919.5
248,2023-07-04,200248,North,Chennai,New,Furniture,1.0,37656.53,25.0,28242.3975
249,2021-09-23,200249,Central,Chennai,New,Furniture,1.0,7676.97,25.0,7676.97
250,2023-08-28,200250,North,Ahmedabad,Returning,Furniture,4.0,29718.7,25.0,118874.8
251,2021-09-27,200251,Central,Pune,New,Clothing,4.0,11261.43,20.0,36036.576
252,2021-12-08,200252,Central,Pune,New,Clothing,4.0,47688.58,25.0,36036.576
253,2023-07-29,200253,North,Mumbai,New,Electronics,4.0,23152.83,15.0,78719.622
254,2021-01-02,200254,South,Pune,Returning,Electronics,5.0,23152.83,15.0,78719.622
255,2021-10-15,200255,East,Chennai,New,Accessories,4.0,32125.27,10.0,115650.972
256,2023-06-30,200256,North,Pune,New,Food,2.0,24153.93,25.0,36230.895
257,2021-07-28,200257,North,Ahmedabad,New,Electronics,7.0,18085.76,25.0,94950.24
258,2022-07-15,200258,East,Hyderabad,New,Clothing,3.0,8876.0,15.0,22633.8
259,2022-10-28,200259,North,Delhi,Returning,Furniture,8.0,11730.85,5.0,89154.46
260,2022-05-13,200260,West,Delhi,Returning,Furniture,8.0,24849.97,0.0,89154.46
261,2021-06-11,200261,Central,Chennai,Returning,Electronics,2.0,5561.99,10.0,10011.582
262,2023-09-09,200262,East,Chennai,Returning,Electronics,8.0,10417.23,5.0,79170.948
263,2023-09-07,200263,East,Chennai,New,Clothing,6.0,34798.88,5.0,198353.616
264,2021-09-13,200264,Central,Chennai,New,Food,2.0,23152.83,5.0,43990.377
265,2021-12-05,200265,East,Ahmedabad,New,Electronics,2.0,39245.1,15.0,43990.377
266,2022-07-31,200266,Central,Chennai,New,Accessories,2.0,11591.23,15.0,43990.377
267,2022-04-07,200267,East,Chennai,Returning,Clothing,3.0,45936.76,15.0,117138.738
268,2023-04-07,200268,North,Chennai,New,Electronics,3.0,11673.93,20.0,117138.738
269,2021-09-24,200269,East,Mumbai,New,Electronics,8.0,1357.94,0.0,10863.52
270,2022-03-13,200270,West,Pune,New,Furniture,5.0,48246.23,5.0,229169.5925
271,2022-05-22,200271,North,Delhi,Returning,Accessories,8.0,24682.04,15.0,167837.872
272,2022-06-24,200272,Central,Pune,New,Accessories,4.0,12222.3,0.0,48889.2
273,2021-06-06,200273,East,Kolkata,New,Accessories,3.0,7358.44,0.0,22075.32
274,2021-01-09,200274,South,Pune,Returning,Electronics,7.0,47358.33,5.0,314932.8945
275,2023-01-30,200275,South,Hyderabad,New,Accessories,8.0,32287.38,15.0,219554.184
276,2022-04-27,200276,North,Delhi,New,Accessories,5.0,41203.96,20.0,164815.84
277,2022-09-05,200277,North,Hyderabad,New,Accessories,9.0,4589.52,5.0,39240.396
278,2023-09-13,200278,West,Kolkata,Returning,Clothing,8.0,48150.67,5.0,385205.36
279,2022-03-05,200279,West,Hyderabad,New,Clothing,9.0,22803.0,25.0,153920.25
280,2023-02-06,200280,East,Pune,New,Furniture,6.0,40741.71,20.0,195560.208
281,2023-08-06,200281,East,Bengaluru,New,Electronics,5.0,24849.97,25.0,93187.3875
282,2023-04-03,200282,North,Chennai,New,Furniture,9.0,8905.26,15.0,68125.239
283,2021-10-26,200283,South,Mumbai,Returning,Furniture,1.0,28294.94,10.0,25465.446
284,2021-12-15,200284,South,Chennai,Returning,Furniture,1.0,17036.91,20.0,25465.446
285,2022-06-04,200285,Central,Mumbai,New,Accessories,9.0,7676.97,5.0,65638.0935
286,2023-01-24,200286,East,Mumbai,Returning,Clothing,9.0,7570.71,25.0,65638.0935
287,2021-05-24,200287,West,Mumbai,New,Furniture,8.0,46398.17,25.0,278389.02
288,2022-10-03,200288,East,Delhi,New,Furniture,6.0,29718.7,10.0,160480.98
289,2021-07-30,200289,East,Chennai,New,Clothing,3.0,4898.1,15.0,12490.155
290,2021-08-20,200290,East,Pune,New,Accessories,7.0,29476.35,5.0,196017.7275
291,2022-11-20,200291,West,Delhi,Returning,Accessories,6.0,34459.76,20.0,165406.848
292,2022-03-25,200292,East,Pune,New,Electronics,2.0,529.5,5.0,1006.05
293,2021-02-14,200293,West,Delhi,Returning,Accessories,9.0,40261.37,15.0,307999.4805
294,2022-06-06,200294,West,Mumbai,New,Furniture,2.0,44918.72,20.0,71869.952
295,2023-03-26,200295,South,Kolkata,Returning,Furniture,4.0,29503.21,5.0,112112.198
296,2022-03-17,200296,South,Hyderabad,New,Food,7.0,4644.38,5.0,30885.127
297,2023-09-22,200297,South,Ahmedabad,New,Electronics,7.0,40229.84,5.0,30885.127
298,2021-06-26,200298,East,Bengaluru,Returning,Food,5.0,10417.23,25.0,39064.6125
299,2022-10-02,200299,West,Mumbai,New,Electronics,2.0,13345.54,25.0,26691.08
300,2022-03-04,200300,East,Pune,Returning,Electronics,3.0,27015.97,25.0,60785.9325
301,2022-06-02,200301,East,Ahmedabad,Returning,Furniture,3.0,2739.55,5.0,7807.7175
